6000    97.7779 1.53202 359.922
6500    97.1966 1.53202 354.081
7000    96.5492 1.61573 348.327
8000    95.8265 1.81271 342.628
9000    93.935  1.90843 329.259
10000   91.618  1.90843 314.388
11000   88.8575 1.9511  298.744
12000   85.6682 1.99285 281.995
13000   81.9084 2.12627 263.562
14000   77.6982 2.12627 244.853
15000   72.905  2.40192 225.075
16000   67.4251 2.25537 203.586
17000   61.3806 2.56202 181.762
18000   54.7019 2.56202 159.068
20000   47.3395 2.73263 135.439
22500   29.4971 3.26977 84.3412
