3000    99.84   1.42769 400.653
3250    99.8027 1.42769 399.935
3500    99.7594 1.42769 399.165
3750    99.7096 1.42769 398.343
4000    99.653  1.42769 397.471
4500    99.6258 1.42769 397.858
5000    99.3186 1.42769 393.076
5500    99.1215 1.42769 390.799
6000    98.8895 1.42769 388.362
6500    98.6215 1.42769 385.781
7000    98.3157 1.42769 383.064
8000    98.2172 1.42769 383.932
9000    97.4029 1.42769 378.052
10000   95.4504 1.42769 362.894
11000   94.1545 1.42769 355.408
12000   92.6402 1.42769 347.456
13000   90.8912 1.42769 339.036
14000   88.8909 1.42769 330.147
15000   86.6204 1.42769 320.778
16000   84.0631 1.42769 310.93
17000   81.2015 1.42769 300.598
18000   78.0647 1.42769 289.939
20000   74.6152 1.42769 278.869
22500   68.6275 1.42769 269.06
