3000    66.0482 1.48601 453.53
3250    65.7161 1.45804 447.134
3500    65.3348 1.49215 440.357
3750    64.9019 1.58423 433.213
4000    64.4152 1.49499 425.716
4500    63.8759 1.5507  418.044
5000    62.552  1.78432 401.048
5500    60.972  1.7002  382.794
6000    59.1059 1.78432 363.037
6500    56.9625 1.96247 342.401
7000    54.5107 1.96247 320.611
8000    51.7416 2.05382 297.941
9000    44.7787 2.41296 247.663
10000   36.3492 2.41296 193.557
11000   26.2547 2.57855 135.243
12000   14.3636 2.72975 72.5373
13000   0.60911 0   6.32375
